Location,Label,Latitude,Longitude
Elvanfoot,80,55.4381297,-3.6583857
Windyhill,81,55.86524482103295, -4.5496629918049525
Denny,82,56.0237411,-3.9081978
Longannet,83,56.05106295,-3.691240527132936
Inverkip,84,55.9060342,-4.8726993
Hunterston,85,55.7214671241075, -4.896379409331039
Nielston,86,55.78500319343446, -4.425471203893181
Strathaven,87,55.676514,-4.0658238
Torness,88,55.96925891997244, -2.406618786329275
Eccles,89,55.67114239042722, -2.374328828626602
Beauly,91,57.483651,-4.4598354
Blackhillock,92,57.4901151,-2.9054431
Peterhead,93,57.5052909,-1.7813194
Kintore,94,57.2369921,-2.3455269
Tealing,95,56.5331528,-2.959138
Errochty,96,56.76031765,-4.15628237263004
Rothienorman,97,57.4113653,-2.4644314
Harker,9,54.9372919,-2.9432011
Stella West,10,54.97698154694926, -1.7429579598751572
Penwortham,11,53.74143315,-2.7292367175458985
Deeside,12,53.22080988560527, -3.0706406219143654
Daines,13,53.42532186862865, -2.386185712033431
Thorpe Marsh,14,53.57574538930382,-1.6251903
Drax,15,53.7254974,-0.9815376083863272
Keadby,16,53.5956035,-0.739716
Ratcliffe,17,51.19529599815596, -0.5585702811332381
Feckenham,18,52.2509524,-1.9889981
Walpole,19,52.75545116285473, 0.22453471722181848
Bramford,20,52.0754182,1.1005827
Pelham,21,51.73666155934004, 0.47260874168779005
East Claydon,22,51.9238187,-0.9285388
Melksham,23,51.3759342,-2.1314633093455035
Bramley,24,51.19529599815596, -0.5585702811332381
London,25,51.4893335,-0.14405508452768728
Kemsley,26,51.36385712336476, 0.7333067348319897
Sellinge,27,51.10527469208696, 1.0037299619713094
Lovedean,28,50.9082753,-1.022611
Exeter,29,50.7256138,-3.5269209
