timestamp,wind_speed_mph,wind_angle_deg
2025-03-18 00:00:00,5,120
2025-03-18 01:00:00,6,125
2025-03-18 02:00:00,6,130
2025-03-18 03:00:00,5,135
2025-03-18 04:00:00,5,140
2025-03-18 05:00:00,4,145
2025-03-18 06:00:00,6,150
2025-03-18 07:00:00,7,155
2025-03-18 08:00:00,8,160
2025-03-18 09:00:00,9,165
2025-03-18 10:00:00,10,170
2025-03-18 11:00:00,11,175
2025-03-18 12:00:00,12,180
2025-03-18 13:00:00,11,185
2025-03-18 14:00:00,10,190
2025-03-18 15:00:00,9,195
2025-03-18 16:00:00,8,200
2025-03-18 17:00:00,7,205
2025-03-18 18:00:00,6,210
2025-03-18 19:00:00,5,215
2025-03-18 20:00:00,4,220
2025-03-18 21:00:00,3,225
2025-03-18 22:00:00,3,230
2025-03-18 23:00:00,2,235
2025-03-19 00:00:00,3,240
2025-03-19 01:00:00,3,245
2025-03-19 02:00:00,4,250
2025-03-19 03:00:00,4,255
2025-03-19 04:00:00,5,260
2025-03-19 05:00:00,6,265
2025-03-19 06:00:00,7,270
2025-03-19 07:00:00,8,275
2025-03-19 08:00:00,9,280
2025-03-19 09:00:00,10,285
2025-03-19 10:00:00,11,290
2025-03-19 11:00:00,12,295
2025-03-19 12:00:00,13,300
2025-03-19 13:00:00,12,295
2025-03-19 14:00:00,11,290
2025-03-19 15:00:00,10,285
2025-03-19 16:00:00,9,280
2025-03-19 17:00:00,8,275
2025-03-19 18:00:00,7,270
2025-03-19 19:00:00,6,265
2025-03-19 20:00:00,5,260
2025-03-19 21:00:00,4,255
2025-03-19 22:00:00,3,250
2025-03-19 23:00:00,2,245
2025-03-20 00:00:00,3,240
2025-03-20 01:00:00,3,235
2025-03-20 02:00:00,4,230
2025-03-20 03:00:00,4,225
2025-03-20 04:00:00,5,220
2025-03-20 05:00:00,6,215
2025-03-20 06:00:00,7,210
2025-03-20 07:00:00,8,205
2025-03-20 08:00:00,9,200
2025-03-20 09:00:00,10,195
2025-03-20 10:00:00,11,190
2025-03-20 11:00:00,12,185
2025-03-20 12:00:00,11,180
2025-03-20 13:00:00,10,175
2025-03-20 14:00:00,9,170
2025-03-20 15:00:00,8,165
2025-03-20 16:00:00,7,160
2025-03-20 17:00:00,6,155
2025-03-20 18:00:00,5,150
2025-03-20 19:00:00,4,145
2025-03-20 20:00:00,3,140
2025-03-20 21:00:00,2,135
2025-03-20 22:00:00,3,130
2025-03-20 23:00:00,3,125
2025-03-21 00:00:00,4,120
2025-03-21 01:00:00,4,115
2025-03-21 02:00:00,5,110
2025-03-21 03:00:00,5,105
2025-03-21 04:00:00,6,100
2025-03-21 05:00:00,7,95
2025-03-21 06:00:00,8,90
2025-03-21 07:00:00,9,85
2025-03-21 08:00:00,10,80
2025-03-21 09:00:00,11,75
2025-03-21 10:00:00,12,70
2025-03-21 11:00:00,11,65
2025-03-21 12:00:00,10,60
2025-03-21 13:00:00,9,55
2025-03-21 14:00:00,8,50
2025-03-21 15:00:00,7,45
2025-03-21 16:00:00,6,40
2025-03-21 17:00:00,5,35
2025-03-21 18:00:00,4,30
2025-03-21 19:00:00,3,25
2025-03-21 20:00:00,2,20
2025-03-21 21:00:00,3,15
2025-03-21 22:00:00,3,10
2025-03-21 23:00:00,4,5
2025-03-22 00:00:00,4,0
2025-03-22 01:00:00,5,355
2025-03-22 02:00:00,5,350
2025-03-22 03:00:00,6,345
2025-03-22 04:00:00,6,340
2025-03-22 05:00:00,7,335
2025-03-22 06:00:00,8,330
2025-03-22 07:00:00,9,325
2025-03-22 08:00:00,10,320
2025-03-22 09:00:00,11,315
2025-03-22 10:00:00,12,310
2025-03-22 11:00:00,11,305
2025-03-22 12:00:00,10,300
2025-03-22 13:00:00,9,295
2025-03-22 14:00:00,8,290
2025-03-22 15:00:00,7,285
2025-03-22 16:00:00,6,280
2025-03-22 17:00:00,5,275
2025-03-22 18:00:00,4,270
2025-03-22 19:00:00,3,265
2025-03-22 20:00:00,3,260
2025-03-22 21:00:00,2,255
2025-03-22 22:00:00,3,250
2025-03-22 23:00:00,3,245
